product_name,price_(kes),skin_type,conditions,ingredients,effectiveness_score,benefits,skin_type_All,skin_type_Combination,skin_type_Dry,skin_type_Normal,skin_type_Oily,skin_type_Sensitive,condition_Acne,condition_Blackheads,condition_Dry Skin,condition_Eczema,condition_Psoriasis,condition_Sensitive,condition_Vitiligo,condition_Wrinkles,condition_Diabetic Skin
Generic Diabetic Skin Treatment for Oily Skin,2000,Oily,Diabetic Skin,Generic Ingredients,7.5,Helps manage Diabetic Skin for Oily skin,,,,,,,,,,,,,,,
Generic Vitiligo Treatment for Oily Skin,2000,Oily,Vitiligo,Generic Ingredients,7.5,Helps manage Vitiligo for Oily skin,,,,,,,,,,,,,,,
Generic Wrinkles Treatment for Oily Skin,2000,Oily,Wrinkles,Generic Ingredients,7.5,Helps manage Wrinkles for Oily skin,,,,,,,,,,,,,,,
Generic Acne Treatment for Dry Skin,2000,Dry,Acne,Generic Ingredients,7.5,Helps manage Acne for Dry skin,,,,,,,,,,,,,,,
Generic Vitiligo Treatment for Dry Skin,2000,Dry,Vitiligo,Generic Ingredients,7.5,Helps manage Vitiligo for Dry skin,,,,,,,,,,,,,,,
Generic Blackheads Treatment for Dry Skin,2000,Dry,Blackheads,Generic Ingredients,7.5,Helps manage Blackheads for Dry skin,,,,,,,,,,,,,,,
Generic Acne Treatment for Normal Skin,2000,Normal,Acne,Generic Ingredients,7.5,Helps manage Acne for Normal skin,,,,,,,,,,,,,,,
Generic Eczema Treatment for Normal Skin,2000,Normal,Eczema,Generic Ingredients,7.5,Helps manage Eczema for Normal skin,,,,,,,,,,,,,,,
Generic Psoriasis Treatment for Normal Skin,2000,Normal,Psoriasis,Generic Ingredients,7.5,Helps manage Psoriasis for Normal skin,,,,,,,,,,,,,,,
Generic Vitiligo Treatment for Normal Skin,2000,Normal,Vitiligo,Generic Ingredients,7.5,Helps manage Vitiligo for Normal skin,,,,,,,,,,,,,,,
Generic Eczema Treatment for Combination Skin,2000,Combination,Eczema,Generic Ingredients,7.5,Helps manage Eczema for Combination skin,,,,,,,,,,,,,,,
Generic Psoriasis Treatment for Combination Skin,2000,Combination,Psoriasis,Generic Ingredients,7.5,Helps manage Psoriasis for Combination skin,,,,,,,,,,,,,,,
Generic Vitiligo Treatment for Combination Skin,2000,Combination,Vitiligo,Generic Ingredients,7.5,Helps manage Vitiligo for Combination skin,,,,,,,,,,,,,,,
Generic Wrinkles Treatment for Combination Skin,2000,Combination,Wrinkles,Generic Ingredients,7.5,Helps manage Wrinkles for Combination skin,,,,,,,,,,,,,,,
Generic Acne Treatment for Sensitive Skin,2000,Sensitive,Acne,Generic Ingredients,7.5,Helps manage Acne for Sensitive skin,,,,,,,,,,,,,,,
Generic Psoriasis Treatment for Sensitive Skin,2000,Sensitive,Psoriasis,Generic Ingredients,7.5,Helps manage Psoriasis for Sensitive skin,,,,,,,,,,,,,,,
Generic Blackheads Treatment for Sensitive Skin,2000,Sensitive,Blackheads,Generic Ingredients,7.5,Helps manage Blackheads for Sensitive skin,,,,,,,,,,,,,,,
Generic Wrinkles Treatment for Sensitive Skin,2000,Sensitive,Wrinkles,Generic Ingredients,7.5,Helps manage Wrinkles for Sensitive skin,,,,,,,,,,,,,,,
